name,date,country,genre,rating,rating_count,kind,link,subscription,audio,subtitles,description
Одарённая,2017,США,драма,7.8,144238,film,https://www.kinopoisk.ru/film/929348/,По подписке Плюс,0,0,0
Стражи Галактики,2014,США,"фантастика, боевик",7.8,530783,film,https://www.kinopoisk.ru/film/689066/,По подписке Плюс,0,0,0
Отчим,2018,Россия,"драма, история",7.8,10965,film,https://www.kinopoisk.ru/film/1161789/,По подписке Плюс,0,0,0
Ран,1985,"Япония, Франция","боевик, драма",7.8,6634,film,https://www.kinopoisk.ru/film/400/,По подписке Плюс,0,0,0
Мертвый сезон,1968,СССР,"драма, криминал",7.8,4903,film,https://www.kinopoisk.ru/film/46770/,По подписке Плюс,0,0,0
Кардинал,2017–2020,Канада,"триллер, драма",7.8,11619,serial,https://www.kinopoisk.ru/film/1008327/,По подписке Плюс,0,0,0
Сказка о мертвой царевне и о семи богатырях,1951,СССР,"мультфильм, детский",7.8,32201,film,https://www.kinopoisk.ru/film/260006/,По подписке Плюс,0,0,0
"Вспомни, что будет",2009–2010,США,"фантастика, триллер",7.8,24618,serial,https://www.kinopoisk.ru/film/466504/,online,0,0,0
Журналист,1967,СССР,драма,7.8,2891,film,https://www.kinopoisk.ru/film/45351/,По подписке Плюс,0,0,0
Шугалей 3,2021,Россия,"боевик, приключения",7.8,3124,film,https://www.kinopoisk.ru/film/4534195/,online,0,0,0
Жёлтый глаз тигра,2018–2018,Россия,"боевик, криминал",7.8,31874,serial,https://www.kinopoisk.ru/film/1045972/,По подписке Плюс,0,0,0
Капризная принцесса,1969,СССР,"мультфильм, детский",7.8,5625,film,https://www.kinopoisk.ru/film/259994/,По подписке Плюс,0,0,0
Дорогой Фрэнки,2003,Великобритания,"драма, мелодрама",7.8,13726,film,https://www.kinopoisk.ru/film/61627/,online,0,0,0
Воспоминания об убийстве,2003,Корея Южная,"детектив, криминал",7.8,50425,film,https://www.kinopoisk.ru/film/65770/,По подписке Плюс,0,0,0
От заката до рассвета,1995,"США, Мексика","ужасы, боевик",7.8,187858,film,https://www.kinopoisk.ru/film/4815/,По подписке Плюс,0,0,0
Как львенок и черепаха пели песню,1974,СССР,"мультфильм, детский",7.8,61540,film,https://www.kinopoisk.ru/film/257964/,По подписке Плюс,0,0,0
Мирный воин,2006,"США, Германия","драма, мелодрама",7.8,56070,film,https://www.kinopoisk.ru/film/87161/,По подписке Плюс,0,0,0
Хранители Алтая,2018,Россия,документальный,7.8,4805,film,https://www.kinopoisk.ru/film/1204221/,По подписке Плюс,0,0,0
Царевны,2018–,Россия,"детский, мультфильм",7.8,35955,serial,https://www.kinopoisk.ru/film/1177496/,По подписке Плюс,0,0,0
Невидимый гость,2016,Испания,"триллер, драма",7.8,219673,film,https://www.kinopoisk.ru/film/959365/,online,0,0,0
Нечего терять,1997,США,"боевик, комедия",7.8,55702,film,https://www.kinopoisk.ru/film/6124/,По подписке Плюс,0,0,0
Пиковая дама,1960,СССР,"мюзикл, драма",7.8,599,film,https://www.kinopoisk.ru/film/42975/,По подписке Плюс,0,0,0
Чебурашка,2013,Япония,"мультфильм, детский",7.8,8352,film,https://www.kinopoisk.ru/film/839110/,По подписке Плюс,0,0,0
Веселые истории,1962,СССР,"комедия, семейный",7.8,2476,film,https://www.kinopoisk.ru/film/45755/,По подписке Плюс,0,0,0
Алиса в Зазеркалье,1982,СССР,"мультфильм, детский",7.8,7221,film,https://www.kinopoisk.ru/film/43458/,По подписке Плюс,0,0,0
Волшебная лампа Аладдина,1967,СССР,"фэнтези, мелодрама",7.8,9983,film,https://www.kinopoisk.ru/film/45833/,По подписке Плюс,0,0,0
12 королевств,2002–2003,Япония,"аниме, мультфильм",7.8,2692,serial,https://www.kinopoisk.ru/film/452607/,По подписке Плюс,0,0,0
Кошкин дом,1958,СССР,"мультфильм, детский",7.8,29696,film,https://www.kinopoisk.ru/film/44940/,По подписке Плюс,0,0,0
Рождение мафии: Нью-Йорк,2015,США,"криминал, история",7.8,3535,film,https://www.kinopoisk.ru/film/910068/,По подписке Плюс,0,0,0
Сад изящных слов,2013,Япония,"аниме, мультфильм",7.8,53970,film,https://www.kinopoisk.ru/film/730665/,По подписке Плюс,0,0,0
Огнеупорный,2008,США,"драма, мелодрама",7.8,5443,film,https://www.kinopoisk.ru/film/397904/,online,0,0,0
Кунг-фу Панда,2008,"США, Китай","мультфильм, фэнтези",7.8,250270,film,https://www.kinopoisk.ru/film/103734/,online,0,0,0
